iso_code,income_category,date,population,people_vaccinated,people_fully_vaccinated,total_vaccinations,new_vaccination,total_boosters
OWID_HIC,"High income",2020-12-04,1250514600,1.0,,1,1,0
OWID_HIC,"High income",2020-12-05,1250514600,1.0,,1,0,0
OWID_HIC,"High income",2020-12-06,1250514600,1.0,,1,0,0
OWID_HIC,"High income",2020-12-07,1250514600,2.0,,2,1,0
OWID_HIC,"High income",2020-12-08,1250514600,7.0,,7,5,0
OWID_HIC,"High income",2020-12-09,1250514600,9.0,,9,2,0
OWID_HIC,"High income",2020-12-10,1250514600,10.0,,10,1,0
OWID_HIC,"High income",2020-12-11,1250514600,14.0,,14,4,0
OWID_HIC,"High income",2020-12-12,1250514600,15.0,,15,1,0
OWID_HIC,"High income",2020-12-13,1250514600,36832.0,9669.0,45635,45620,0
OWID_HIC,"High income",2020-12-14,1250514600,41485.0,9833.0,50488,4853,0
OWID_HIC,"High income",2020-12-15,1250514600,88627.0,10161.0,99097,48609,0
OWID_HIC,"High income",2020-12-16,1250514600,246449.0,10679.0,261555,162458,0
OWID_HIC,"High income",2020-12-17,1250514600,518960.0,11505.0,541058,279503,0
OWID_HIC,"High income",2020-12-18,1250514600,934574.0,12831.0,966142,425084,0
OWID_HIC,"High income",2020-12-19,1250514600,1115525.0,13994.0,1151512,185370,0
OWID_HIC,"High income",2020-12-20,1250514600,1228705.0,14817.0,1266981,115469,0
OWID_HIC,"High income",2020-12-21,1250514600,1640910.0,16491.0,1686873,419892,0
OWID_HIC,"High income",2020-12-22,1250514600,2133332.0,19508.0,2188628,501755,0
OWID_HIC,"High income",2020-12-23,1250514600,2810475.0,22774.0,2877956,689328,0
OWID_HIC,"High income",2020-12-24,1250514600,3098788.0,24022.0,3171302,293346,0
OWID_HIC,"High income",2020-12-25,1250514600,3158258.0,24160.0,3230977,59675,0
OWID_HIC,"High income",2020-12-26,1250514600,3335405.0,25230.0,3411744,180767,0
OWID_HIC,"High income",2020-12-27,1250514600,3583219.0,26045.0,3662486,250742,0
OWID_HIC,"High income",2020-12-28,1250514600,4344778.0,30543.0,4442986,780500,0
OWID_HIC,"High income",2020-12-29,1250514600,5295498.0,36074.0,5413695,970709,0
